,Aglais urticae,Apis mellifera,Araschnia levana,Autographa gamma,Bellardia pandia,Bombus hortorum,Bombus lucorum-Komplex cf. lucorum,Bombus monticola,Bombus pascuorum,Bombus pratorum,Bombus soroeensis,Bombus sylvestris,Bombus wurflenii,Botanophila aff. varicolor,Botanophila fugax,Botanophila striolata,Botanophila trapezina,Botanophila tuxeni,Botanophila varicolor,Calliphora vicina,Calliphora vomitoria,Chamaesyrphus scaevoides,Cheilosia ahenea,Cheilosia albitarsis,Cheilosia antiqua,Cheilosia canicularis,Cheilosia carbonaria,Cheilosia lenis,Cheilosia melanopa ,Cheilosia melanura,Cheilosia mutabilis,Cheilosia pagana,Cheilosia pubera,Cheilosia urbana,Cheilosia vicina,Chelostoma florisomne,Chersotis cuprea,Coenosia obscuricola,Colias crocea,Delia platura,Didea alneti,Dinera carinifrons,Drymeia alpicola,Drymeia brumalis,Drymeia hamata,Empis florisomna,Empis fumosa,Empis melanotricha,Empis simulium,Empis spec. 2,Empis tesselata,Episyrphus balteatus,Erebia manto,Erebia meolans,Eristalis arbustorum,Eristalis picea,Eristalis rupium,Eristalis similis,Eristalis tenax,Eupeodes corollae,Eupeodes lapponicus,Eupeodes latifasciatus,Eupeodes nielseni,Eurithia connivens,Fannia carbonella,Fannia postica,Fannia serena,Halictus rubicundus,Helina evecta,Helophilus pendulus,Helophilus trivittatus,Heterostylodes obscura,Hydrophoria diabata,Hydrophoria lancifer ,Hylaeus confusus,Hylaeus hyalinatus,Inachis io,Lasioglossum albipes,Lasioglossum calceatum,Lasioglossum cupromicans,Lasioglossum fratellum,Leucozona lucorum,Lonchoptera lutea,Lucilia richardsi,Lucilia richardsih,Megachile ligniseca,Megachile willughbiella,Megaselia sordida,Melangyna compositarum,Melanogaster hirtella,Melanostoma dubium,Melanostoma mellinum,Melanostoma scalare,Meliscaeva auricollis,Morellia podagrica,Myathropa florea,Onychogonia suggesta,Panurginus montanus,Paragus haemorrhous,Paramacronychia flavipalpis,Parasyrphus annulatus,Parasyrphus vittiger,Pegoplata aestiva,Phaonia angelicae,Phaonia chalinata,Phaonia meigeni,Phaonia serva,Phorbia curvicauda,Phorbia fascicularis,Pieris bryoniae,Pieris napi,Pieris rapae,Pipizella annulata,Platycheirus albimanus,Platycheirus manicatus,Platycheirus peltatus,Platycheirus tarsalis,Platypalpus pseudorapidus,Pollenia amentaria,Sarcophaga variegatag,Scaeva pyrastri,Scaeva selenitica,Scaptomyza pallida,Scathophaga stercoraria,Sepsis fulgens,Sepsis violacea,Siphona boreata,Sphaerophoria ,Sphaerophoria batava,Sphaerophoria interrupta,Sphaerophoria scripta,Sphaerophoria taeniata,Sphecodes geoffrellus,Sphecodes hyalinatus,Stomorhina lunata,Sympycnus aeneicoxa,Syrphus ribesii,Syrphus torvus,Syrphus vitripennis,Tachina fera,Tachina magnicornis,Thricops aculeipes,Thricops beckeri,Thricops cunctans,Thricops genarum,Thricops innocuus,Thricops longipes,Thricops nigrifrons,Thricops nigritellus,Thricops rostratus,Thricops semicinereus,Udea alpinalis,Vanessa atalanta,Xanthandrus comtus,Xylota florum
Achillea clavennae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Achillea millefolium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,43,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,4,0,6,0,0,9,0,0,0
Anthriscus nitidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0
Aster bellidiastrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteraceae sp. 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscutella laevigata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Buphthalmum salicifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula cochleariifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula scheuchzeri,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carduus defloratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
